Profile has been set to undocked, 16/02/12,18:09:07
Profile has been set to home, 16/02/12,20:29:22
Could not set profile to docked, 17/02/12,00:46:45
Profile has been set to home, 17/02/12,00:46:57
Profile has been set to undocked, 19/02/12,09:56:43
Profile has been set to docked, 19/02/12,10:53:38
Profile has been set to undocked, 19/02/12,11:55:38
Profile has been set to docked, 19/02/12,11:55:42
Profile has been set to undocked, 19/02/12,11:56:11
Profile has been set to docked, 19/02/12,11:56:15
Profile has been set to undocked, 19/02/12,12:22:23
Profile has been set to docked, 19/02/12,12:23:09
Profile has been set to undocked, 19/02/12,13:01:40
Profile has been set to docked, 19/02/12,13:01:44
Profile has been set to undocked, 19/02/12,20:00:47
Profile has been set to docked, 20/02/12,13:58:32
Profile has been set to undocked, 20/02/12,20:39:56
Profile has been set to docked, 21/02/12,14:38:04
Profile has been set to undocked, 21/02/12,20:39:52
Profile has been set to docked, 22/02/12,09:23:27
Profile has been set to undocked, 22/02/12,09:29:40
Profile has been set to docked, 22/02/12,09:29:44
Profile has been set to undocked, 22/02/12,10:08:07
Profile has been set to docked, 22/02/12,10:48:04
Profile has been set to undocked, 22/02/12,18:14:45
Profile has been set to docked, 22/02/12,18:14:52
Profile has been set to undocked, 22/02/12,18:15:09
Profile has been set to docked, 23/02/12,10:02:30
Profile has been set to undocked, 23/02/12,19:06:41
Profile has been set to home, 25/02/12,12:06:57
Profile has been set to undocked, 26/02/12,09:42:07
Profile has been set to docked, 26/02/12,09:42:13
Profile has been set to undocked, 26/02/12,18:24:56
Profile has been set to docked, 27/02/12,10:39:24
Profile has been set to undocked, 27/02/12,19:20:27
Profile has been set to home, 27/02/12,23:55:27
Profile has been set to undocked, 28/02/12,09:47:16
Profile has been set to docked, 28/02/12,11:32:35
Profile has been set to undocked, 28/02/12,20:29:09
Profile has been set to docked, 29/02/12,10:46:08
Profile has been set to undocked, 29/02/12,18:35:54
Profile has been set to undocked, 01/03/12,09:59:00
Profile has been set to docked, 01/03/12,09:59:04
Profile has been set to undocked, 01/03/12,19:35:04
Profile has been set to home, 02/03/12,10:28:46
Profile has been set to undocked, 02/03/12,12:51:38
Profile has been set to home, 03/03/12,10:33:51
Profile has been set to undocked, 04/03/12,10:44:49
Profile has been set to docked, 04/03/12,10:44:55
Profile has been set to undocked, 04/03/12,18:21:41
Profile has been set to docked, 05/03/12,09:14:20
Profile has been set to undocked, 05/03/12,14:03:04
Profile has been set to docked, 05/03/12,14:03:07
Profile has been set to undocked, 05/03/12,14:03:17
Profile has been set to docked, 05/03/12,14:03:30
